#### EXPORT DONNEES METEO POUR "MONTRéAL" (LAT/LON: 45.5086699/-73.5539925)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-03-14,-1,-8,31,-2,-2,-6,0.7,63,6.75,1023,92.625,0,0,-11,368,230,227,0.2,1,4.3,météo très défavorable,17:59:00,06:08:00,-1
2021-03-15,-7,-16,17,-16,-13,-7,0,62,10,1031,37.125,0,0,-24,116,116,116,0,1,11.6,météo très défavorable,18:01:00,06:06:00,-14
2021-03-16,-2,-10,9,-10,-5,-2,0,77,10,1029,10.125,0,0,-15,116,116,116,0,2,11.6,météo très défavorable,18:02:00,06:04:00,-10
2021-03-17,2,-5,6,-5,1,2,0,87,10,1021,39,2,0,-8,116,116,122,0,2,10.2,météo très défavorable,18:03:00,06:02:00,-5
2021-03-18,5,-4,13,1,4,3,1.1,97,8.75,1022,79.625,5,1,-2,317,119,119,0,1,8.8,météo très défavorable,18:04:00,06:01:00,1
2021-03-19,1,-8,21,-8,-5,1,0,51,10,1030,22,1,0,-16,113,113,116,0,1,12.5,météo très défavorable,18:06:00,05:59:00,-7
2021-03-20,5,-2,17,-2,2,5,0,69,10,1033,8.875,5,0,-8,116,116,116,0,2,12.5,météo très défavorable,18:07:00,05:57:00,-2
2021-03-21,10,0,13,-0,6,10,0,85,10,1036,5.625,10,3,-4,116,113,113,0,3,12.5,météo très défavorable,18:08:00,05:55:00,0
2021-03-22,10,3,7,3,8,8,0,75,10,1032,16.5,10,4,1,113,113,122,0,3,12.6,météo très défavorable,18:10:00,05:53:00,3
2021-03-23,13,4,7,4,10,12,0,80,10,1026,29.5,13,3,2,116,116,122,0,3,12.6,météo correcte,18:11:00,05:51:00,4
2021-03-24,14,5,18,5,11,14,0.4,84,10,1024,66,14,6,4,122,116,116,0,3,10.5,météo très défavorable,18:12:00,05:49:00,6
2021-03-25,18,8,19,8,15,18,1.5,82,6.375,1017,73.875,19,10,5,266,119,116,0,3,10.6,météo défavorable,18:14:00,05:47:00,9
2021-03-26,15,7,32,12,14,10,15.1,88,8.375,1009,99,15,10,9,302,302,296,0,3,7.9,météo défavorable,18:15:00,05:46:00,12
2021-03-27,7,0,24,0,4,7,0,64,10,1020,36.375,7,0,-6,116,116,113,0,1,12.7,météo très défavorable,18:16:00,05:44:00,2
2021-03-28,9,2,11,2,6,9,0.2,46,9.625,1021,53.375,9,1,0,116,116,176,0,3,9.3,météo très défavorable,18:17:00,05:42:00,3
2021-03-29,6,-1,35,0,1,3,3.3,64,7.25,1021,46.625,6,3,-8,230,116,116,0,1,11.9,météo très défavorable,18:19:00,05:40:00,3
2021-03-30,12,0,22,0,9,12,0,65,10,1024,23.75,12,3,-3,116,116,116,0,3,12.8,météo très défavorable,18:20:00,05:38:00,0
2021-03-31,9,6,19,7,9,7,6.7,87,8.5,1016,60,9,7,4,116,296,296,0,3,10.6,météo défavorable,18:21:00,05:36:00,8
2021-04-01,5,-2,23,2,0,-1,22.5,97,3.625,1015,93.875,5,3,-6,338,338,338,19.1,1,8.1,météo très défavorable,18:23:00,05:34:00,4
2021-04-02,-0,-5,17,-5,-2,0,2.2,80,6.375,1017,95.25,0,0,-11,371,371,371,1.9,1,8.1,météo très défavorable,18:24:00,05:32:00,-4
2021-04-03,7,-1,17,-1,4,7,0,41,10,1021,31.875,7,0,-6,116,116,116,0,1,13,météo très défavorable,18:25:00,05:30:00,-1
2021-04-04,8,1,9,1,5,8,0,84,10,1021,74.875,8,0,-1,119,116,119,0,1,9.4,météo très défavorable,18:26:00,05:29:00,2
2021-04-05,11,3,17,3,8,11,0,78,10,1020,40.25,11,0,-1,116,119,116,0,3,13,météo très défavorable,18:28:00,05:27:00,3
2021-04-06,12,3,7,3,9,12,0,70,10,1017,23.5,12,3,2,116,116,116,0,3,13,météo très défavorable,18:29:00,05:25:00,4
2021-04-07,11,7,13,7,10,10,0,82,10,1019,97.375,11,5,5,122,122,122,0,2,8.2,météo défavorable,18:30:00,05:23:00,7
2021-04-08,16,6,14,6,13,16,0,88,10,1022,20.125,16,6,4,116,116,113,0,4,13.1,météo correcte,18:32:00,05:21:00,6
2021-04-09,19,10,14,10,16,18,0,80,10,1021,31,19,9,9,116,116,122,0,4,13.1,météo favorable,18:33:00,05:19:00,10
2021-04-10,20,12,10,12,16,19,0,81,10,1017,50,20,11,11,119,116,116,0,4,12,météo favorable,18:34:00,05:17:00,13
2021-04-11,15,8,23,8,13,15,0,78,10,1008,50,15,7,5,116,119,122,0,4,12,météo correcte,18:36:00,05:16:00,8
2021-04-12,17,9,21,9,15,15,0,68,10,1015,65.25,17,7,6,116,122,116,0,3,10.8,météo défavorable,18:37:00,05:14:00,10
2021-04-13,9,8,15,8,8,8,10.2,85,9.125,1016,88.25,9,6,5,116,296,302,0,2,9.5,météo défavorable,18:38:00,05:12:00,8
2021-04-14,15,7,14,7,12,15,0,73,10,1017,48.5,15,4,4,119,116,116,0,4,12,météo correcte,18:39:00,05:10:00,7
2021-04-15,14,6,14,6,14,10,3.4,66,9.75,1012,67.75,14,7,3,116,353,296,0,4,10.8,météo défavorable,18:41:00,05:08:00,7
2021-04-16,6,4,22,5,5,6,37,94,7.125,1009,99.25,6,4,0,302,308,302,0,1,8.3,météo très défavorable,18:42:00,05:07:00,5
2021-04-17,10,4,18,4,8,10,3.1,86,9.75,1010,78,10,4,0,116,122,116,0,2,10.8,météo très défavorable,18:43:00,05:05:00,5
2021-04-18,12,4,10,4,10,12,0.2,84,9.625,1012,78.125,12,4,2,119,122,176,0,3,8.4,météo très défavorable,18:45:00,05:03:00,4
2021-04-19,13,6,12,6,11,13,0.1,75,10,1012,59,13,3,5,116,122,116,0,3,10.8,météo correcte,18:46:00,05:01:00,7
2021-04-20,9,3,27,3,5,8,1,70,9.875,1014,76.375,9,3,-2,122,122,116,0,2,9.6,météo très défavorable,18:47:00,05:00:00,6
2021-04-21,4,-1,12,2,0,2,11.1,94,5.75,1013,76.5,4,0,-3,338,338,335,9.2,2,8.7,météo très défavorable,18:49:00,04:58:00,3
2021-04-22,6,-6,24,-1,3,6,0.4,82,9.375,1004,83.375,6,0,-6,332,176,116,0.2,1,8.7,météo très défavorable,18:50:00,04:56:00,-1
2021-04-23,12,1,27,1,8,12,0,77,10,1008,19.875,12,2,-5,116,116,116,0,3,14,météo très défavorable,18:51:00,04:55:00,1
2021-04-24,15,6,21,6,12,15,1.4,84,9.75,1013,71.875,15,6,3,353,353,176,0,4,8.7,météo défavorable,18:52:00,04:53:00,7
2021-04-25,10,8,17,8,8,10,22.9,96,7.25,1011,95.5,10,8,5,302,308,296,0,2,8.8,météo très défavorable,18:54:00,04:51:00,9
2021-04-26,12,1,20,1,8,12,0,62,10,1021,10.875,12,0,-4,116,116,116,0,3,14.1,météo très défavorable,18:55:00,04:50:00,1
2021-04-27,12,4,13,4,11,10,0.2,59,9.625,1020,32,12,1,1,113,116,116,0,3,12.2,météo très défavorable,18:56:00,04:48:00,4
2021-04-28,13,8,11,9,13,10,7,75,9.25,1015,72.875,13,9,8,116,122,302,0,3,11.1,météo défavorable,18:58:00,04:46:00,8
2021-04-29,13,9,11,9,13,12,6.7,92,6.625,1008,99.25,13,11,8,266,176,296,0,3,8.8,météo défavorable,18:59:00,04:45:00,9
2021-04-30,9,7,22,8,9,8,7.5,97,5.75,1001,100,9,8,5,302,266,122,0,2,9.1,météo défavorable,19:00:00,04:43:00,8
2021-05-01,12,3,19,4,9,11,0.8,72,9.875,1011,51,12,5,-0,116,116,119,0,2,13.4,météo très défavorable,19:01:00,04:42:00,5
2021-05-02,12,4,17,6,9,11,1.4,83,9,1011,48.875,12,4,3,176,113,116,0,2,13.4,météo défavorable,19:03:00,04:40:00,6
2021-05-03,10,5,8,6,10,7,1.6,63,8.875,1014,63.75,10,5,5,116,119,296,0,3,10.2,météo défavorable,19:04:00,04:39:00,7
2021-05-04,9,6,12,6,8,9,6.7,96,5.625,1009,100,9,8,4,296,266,296,0,2,9.2,météo défavorable,19:05:00,04:37:00,6
2021-05-05,14,6,21,12,12,12,4.3,93,8.5,1011,94.875,14,12,9,266,176,176,0,3,9.2,météo défavorable,19:07:00,04:36:00,13
2021-05-06,13,6,17,6,11,12,0.2,71,10,1016,55.25,13,3,3,119,116,116,0,2,13.4,météo correcte,19:08:00,04:34:00,6
2021-05-07,14,5,8,5,12,13,0.1,65,9.625,1015,47.5,14,3,4,116,116,122,0,4,12.4,météo correcte,19:09:00,04:33:00,6
2021-05-08,13,7,12,7,12,12,0.3,74,10,1010,82.625,13,6,5,119,122,353,0,4,10.3,météo défavorable,19:10:00,04:32:00,7
2021-05-09,16,8,16,8,14,15,0.2,82,9,1013,54.25,16,6,6,116,116,116,0,4,13.5,météo correcte,19:12:00,04:30:00,8
2021-05-10,10,5,11,9,9,8,7.7,93,8.25,1009,93.875,10,8,7,296,296,293,0,2,9.3,météo défavorable,19:13:00,04:29:00,9
2021-05-11,11,6,24,6,10,10,0.7,84,9.875,1014,62.875,11,7,2,116,116,122,0,2,13.5,météo défavorable,19:14:00,04:28:00,6
2021-05-12,15,5,17,5,14,15,0,81,10,1021,47.25,15,3,3,116,116,116,0,3,14.5,météo correcte,19:15:00,04:27:00,5
2021-05-13,17,8,17,8,16,16,1,65,9.75,1023,33.875,17,10,6,116,119,353,0,4,14.5,météo correcte,19:16:00,04:25:00,8
2021-05-14,20,10,9,10,18,17,6.3,90,9.625,1024,50.25,20,11,9,116,119,176,0,4,13.5,météo correcte,19:18:00,04:24:00,10
2021-05-15,20,10,20,10,18,19,0.2,84,10,1023,33,20,9,8,116,116,116,0,5,14.5,météo favorable,19:19:00,04:23:00,10
2021-05-16,20,10,11,10,18,19,2.5,90,8.875,1024,72.25,20,12,9,176,353,176,0,4,10.4,météo défavorable,19:20:00,04:22:00,10
2021-05-17,23,11,7,11,20,21,0.6,92,9,1027,33.75,25,12,10,116,116,116,0,4,14.5,météo favorable,19:21:00,04:21:00,12
2021-05-18,22,13,15,13,20,21,1.4,88,8.75,1024,64.125,24,11,12,176,116,116,0,4,11.4,météo correcte,19:22:00,04:20:00,13
2021-05-19,25,15,18,15,22,23,0,63,10,1025,34,26,15,15,122,116,116,0,6,13.5,météo favorable,19:23:00,04:19:00,15
2021-05-20,23,16,14,16,23,20,0.2,86,9.625,1028,45.125,25,16,16,116,119,119,0,5,12.5,météo correcte,19:25:00,04:18:00,16
2021-05-21,21,18,15,18,20,21,4.9,79,9,1028,78.25,22,18,18,266,119,353,0,5,9.4,météo défavorable,19:26:00,04:17:00,19
2021-05-22,25,18,13,18,23,23,9.9,95,8.5,1023,90.25,26,18,18,353,353,122,0,5,9.4,météo défavorable,19:27:00,04:16:00,18
2021-05-23,19,15,24,17,19,18,0.5,84,10,1018,46.375,19,16,17,116,353,116,0,5,10.5,météo correcte,19:28:00,04:15:00,17
2021-05-24,21,8,10,8,18,19,0,48,10,1026,1.75,21,5,7,116,113,113,0,5,14.5,météo favorable,19:29:00,04:14:00,9
