DATE       ,MAX_TEMPERATURE_C ,MIN_TEMPERATURE_C ,WINDSPEED_MAX_KMH ,TEMPERATURE_MORNING_C ,TEMPERATURE_NOON_C ,TEMPERATURE_EVENING_C ,PRECIP_TOTAL_DAY_MM ,HUMIDITY_MAX_PERCENT ,VISIBILITY_AVG_KM ,PRESSURE_MAX_MB ,CLOUDCOVER_AVG_PERCENT ,HEATINDEX_MAX_C ,DEWPOINT_MAX_C ,WINDTEMP_MAX_C ,WEATHER_CODE_MORNING ,WEATHER_CODE_NOON ,WEATHER_CODE_EVENING ,TOTAL_SNOW_MM ,UV_INDEX ,SUNHOUR ,OPINION                ,SUNSET   ,SUNRISE  ,TEMPERATURE_NIGHT_C
2022-03-10 ,-1                ,-7                ,               20 ,-4                    ,-2                 ,-2                    ,                0   ,                  85 ,           10     ,           1023 ,                39.375 ,              0 ,             0 ,-10            ,                 113 ,              122 ,                 113 ,          0   ,       1 ,   10.1 ,météo très défavorable ,18:54:00 ,07:16:00 ,-2
2022-03-11 ,-5                ,-9                ,               14 ,-9                    ,-6                 ,-6                    ,                0.6 ,                  94 ,            6.75  ,           1024 ,                98.125 ,              0 ,             0 ,-14            ,                 122 ,              122 ,                 338 ,          0.5 ,       1 ,    5.7 ,météo très défavorable ,18:55:00 ,07:14:00 ,-8
2022-03-12 ,-1                ,-7                ,               15 ,-6                    ,-3                 ,-2                    ,                6.6 ,                  98 ,            3     ,           1014 ,               100     ,              0 ,             0 ,-11            ,                 338 ,              338 ,                 338 ,          5.6 ,       1 ,    5.7 ,météo très défavorable ,18:56:00 ,07:13:00 ,-4
2022-03-13 ,-5                ,-14               ,               27 ,-14                   ,-11                ,-7                    ,                0.1 ,                  80 ,           10     ,           1018 ,                60.875 ,              0 ,             0 ,-25            ,                 113 ,              122 ,                 122 ,          0.1 ,       1 ,    7.2 ,météo très défavorable ,18:58:00 ,07:11:00 ,-12
2022-03-14 ,3                 ,-6                ,               16 ,-3                    ,1                  ,1                     ,                0.5 ,                 100 ,            7.5   ,           1022 ,                92.375 ,              3 ,             2 ,-8             ,                 332 ,              368 ,                 248 ,          0.3 ,       1 ,    7.2 ,météo très défavorable ,18:59:00 ,07:09:00 ,-5
2022-03-15 ,-0                ,-4                ,                5 ,-2                    ,0                  ,-0                    ,                0.9 ,                  97 ,            6.375 ,           1025 ,                69.25  ,              0 ,             0 ,-4             ,                 335 ,              122 ,                 116 ,          0.8 ,       1 ,    8.8 ,météo très défavorable ,19:00:00 ,07:07:00 ,-1
2022-03-16 ,2                 ,-7                ,               10 ,-7                    ,0                  ,1                     ,                0   ,                  94 ,            6.75  ,           1023 ,                44.875 ,              2 ,             1 ,-7             ,                 143 ,              113 ,                 143 ,          0   ,       1 ,   11.6 ,météo très défavorable ,19:02:00 ,07:05:00 ,-4
2022-03-17 ,10                ,1                 ,               14 ,1                     ,6                  ,8                     ,                0   ,                  97 ,            6.75  ,           1020 ,                69.125 ,             10 ,             8 ,-2             ,                 143 ,              116 ,                 116 ,          0   ,       2 ,   10.2 ,météo très défavorable ,19:03:00 ,07:03:00 ,1
2022-03-18 ,10                ,4                 ,               11 ,5                     ,8                  ,9                     ,                1.5 ,                  98 ,            8.25  ,           1020 ,                80.5   ,             10 ,             5 ,3              ,                 263 ,              116 ,                 122 ,          0   ,       2 ,    8.8 ,météo très défavorable ,19:04:00 ,07:01:00 ,5
2022-03-19 ,5                 ,3                 ,               21 ,3                     ,5                  ,5                     ,                3.7 ,                  95 ,            5.75  ,           1018 ,                97.625 ,              5 ,             5 ,-2             ,                 296 ,              266 ,                 266 ,          0   ,       1 ,    6.2 ,météo très défavorable ,19:06:00 ,06:59:00 ,3
